month,positive_score,negative_score,uncertainty_score,net_tone
2016-01-01,1.1801,1.6632,1.1828,-0.2024
2016-02-01,1.1801,1.6632,1.1828,-0.2024
2016-03-01,1.4238,1.474,1.2157,-0.0028
2016-04-01,1.5305,1.5936,1.1972,-0.0035
2016-05-01,1.5305,1.5936,1.1972,-0.0035
2016-06-01,1.3807,2.0258,1.2161,-0.1966
2016-07-01,1.3133,1.6844,1.2035,-0.1113
2016-08-01,1.3133,1.6844,1.2035,-0.1113
2016-09-01,1.2137,1.2514,1.193,-0.0278
2016-10-01,1.2137,1.2514,1.193,-0.0278
2016-11-01,1.3561,1.1905,1.2896,0.0694
2016-12-01,1.2058,1.0917,1.4678,0.0554
2017-01-01,1.2058,1.0917,1.4678,0.0554
2017-02-01,1.1831,0.8231,1.2934,0.1793
2017-03-01,1.0833,0.8048,1.6893,0.205
2017-04-01,1.0833,0.8048,1.6893,0.205
2017-05-01,1.0246,1.2601,1.6599,-0.0849
2017-06-01,0.9802,1.1538,1.7069,-0.038
2017-07-01,1.1034,1.2039,1.5332,0.0349
2017-08-01,1.1034,1.2039,1.5332,0.0349
2017-09-01,1.1073,1.4147,1.3405,-0.1271
2017-10-01,1.1073,1.4147,1.3405,-0.1271
2017-11-01,1.1128,1.4421,1.3682,-0.1125
2017-12-01,1.214,1.1593,1.347,0.0296
2018-01-01,1.2628,0.6258,1.136,0.371
2018-02-01,1.2628,0.6258,1.136,0.371
2018-03-01,1.6042,0.8992,1.2989,0.3335
2018-04-01,1.6042,0.8992,1.2989,0.3335
2018-05-01,1.3796,0.7444,1.5379,0.3381
2018-06-01,1.4697,0.8962,1.6687,0.2256
2018-07-01,1.4697,0.8962,1.6687,0.2256
2018-08-01,1.6908,0.941,1.2564,0.296
2018-09-01,1.6516,0.8474,1.272,0.3378
2018-10-01,1.6516,0.8474,1.272,0.3378
2018-11-01,1.6262,1.1186,1.3228,0.2034
2018-12-01,1.4373,1.0556,1.1016,0.2262
2019-01-01,1.2474,0.8611,0.9175,0.2348
2019-02-01,1.2474,0.8611,0.9175,0.2348
2019-03-01,1.19,1.4318,0.8856,-0.0712
2019-04-01,1.19,1.4318,0.8856,-0.0712
2019-05-01,1.2518,1.2357,1.2094,0.0319
2019-06-01,1.2056,1.3312,1.6535,-0.0113
2019-07-01,1.2174,1.0828,0.98,0.1382
2019-08-01,1.2174,1.0828,0.98,0.1382
2019-09-01,1.289,1.4583,1.0768,-0.0009
2019-10-01,1.1266,1.0845,0.9879,0.083
2019-11-01,1.1266,1.0845,0.9879,0.083
2019-12-01,1.3638,1.247,0.6733,0.1004
2020-01-01,1.3638,1.247,0.6733,0.1004
2020-02-01,1.3638,1.247,0.6733,0.1004
2020-03-01,1.3638,1.247,0.6733,0.1004
2020-04-01,1.3638,1.247,0.6733,0.1004
2020-05-01,1.3638,1.247,0.6733,0.1004
2020-06-01,1.3638,1.247,0.6733,0.1004
2020-07-01,1.3638,1.247,0.6733,0.1004
2020-08-01,1.3638,1.247,0.6733,0.1004
2020-09-01,1.3638,1.247,0.6733,0.1004
2020-10-01,1.3638,1.247,0.6733,0.1004
2020-11-01,1.3638,1.247,0.6733,0.1004
2020-12-01,1.3638,1.247,0.6733,0.1004
2021-01-01,1.7132,1.7018,0.9186,-0.0051
2021-02-01,1.7132,1.7018,0.9186,-0.0051
2021-03-01,1.8178,1.5202,1.0133,0.0827
2021-04-01,2.1602,1.54,1.1102,0.1354
2021-05-01,2.1602,1.54,1.1102,0.1354
2021-06-01,2.1472,1.2542,1.1446,0.2238
2021-07-01,2.2484,1.3276,1.21,0.2266
2021-08-01,2.2484,1.3276,1.21,0.2266
2021-09-01,2.1088,1.6058,1.1709,0.1088
2021-10-01,2.1088,1.6058,1.1709,0.1088
2021-11-01,1.7246,1.4739,0.942,0.0793
2021-12-01,1.7692,1.409,1.2326,0.0903
2022-01-01,1.6066,1.2742,1.1467,0.088
2022-02-01,1.6066,1.2742,1.1467,0.088
2022-03-01,1.42,1.59,1.3285,-0.1031
2022-04-01,1.42,1.59,1.3285,-0.1031
2022-05-01,1.2944,1.7565,1.5792,-0.1637
2022-06-01,1.0484,1.9505,1.5679,-0.297
2022-07-01,1.193,1.8885,1.5234,-0.2055
2022-08-01,1.193,1.8885,1.5234,-0.2055
2022-09-01,1.18,1.8574,1.3319,-0.205
2022-10-01,1.18,1.8574,1.3319,-0.205
2022-11-01,1.1532,2.0452,1.2462,-0.2684
2022-12-01,1.172,2.0961,1.2481,-0.2684
2023-01-01,1.172,2.0961,1.2481,-0.2684
2023-02-01,1.2542,1.8417,1.4082,-0.19
2023-03-01,0.974,1.4108,1.3647,-0.1566
2023-04-01,0.974,1.4108,1.3647,-0.1566
2023-05-01,0.9344,1.7943,1.805,-0.2544
2023-06-01,0.8974,1.3933,1.6256,-0.194
2023-07-01,0.9804,1.5154,1.5883,-0.183
2023-08-01,0.9804,1.5154,1.5883,-0.183
2023-09-01,1.1537,1.6098,1.4981,-0.1532
2023-10-01,1.1537,1.6098,1.4981,-0.1532
2023-11-01,1.2896,1.3955,1.4753,-0.025
2023-12-01,1.3016,1.582,1.503,-0.0854
2024-01-01,1.8832,1.0378,1.638,0.2986
2024-02-01,1.8832,1.0378,1.638,0.2986
2024-03-01,1.865,1.1766,1.6838,0.2462
2024-04-01,1.865,1.1766,1.6838,0.2462
2024-05-01,1.7302,1.3905,1.918,0.0966
2024-06-01,1.9194,1.1548,1.8703,0.2536
2024-07-01,1.6658,1.184,1.7724,0.1968
2024-08-01,1.6658,1.184,1.7724,0.1968
2024-09-01,1.6072,1.4799,2.1284,0.029
2024-10-01,1.6072,1.4799,2.1284,0.029
2024-11-01,1.1608,1.1016,2.1261,0.0835
2024-12-01,1.1069,1.1283,2.0372,0.0132
2025-01-01,1.193,0.8918,2.0464,0.1624
2025-02-01,1.193,0.8918,2.0464,0.1624
2025-03-01,0.78,1.682,1.7473,-0.3621
2025-04-01,0.78,1.682,1.7473,-0.3621
2025-05-01,0.956,1.4428,2.4324,-0.1396
2025-06-01,0.8437,1.1033,2.1464,-0.1194
2025-07-01,0.7941,1.2612,1.8391,-0.1851
2025-08-01,1.9763,0.0,0.3953,1.0
2025-09-01,0.9534,1.2808,1.9191,-0.1364
2025-10-01,0.9576,1.3749,1.9759,-0.1522
2025-11-01,0.9576,1.3749,1.9759,-0.1522
2025-12-01,0.8006,1.2911,1.832,-0.2324
